"from_user_name","to_user_name","in_reply_to_status_id","location"
"FernandezC91_","DianaChuquisala",1.33852562834209E+018,"Ecuador"
"Sofiatorres_75","BetoYr",1.33856463694641E+018,"Ecuador"
"AnaGarciaas","gorelita",1.33849944246342E+018,"Ecuador"
"Marignzle","COLECTIVOREVOL4",1.33856422783821E+018,"Ecuador"
"joseperezdani","LaFabricaECU",1.3373500674691E+018,"Machala, Ecuador"
"AnaGarciaas","UnesCanar",1.3385284876034E+018,"Ecuador"
"Simon_Pe17","VuelveRafael",1.33856659803101E+018,"Ecuador"
"Sofia_Aponte23","SurgenteA",1.3385009038847E+018,"Ecuador"
"saul1_martinez","NucleoLosRios",1.33850541260211E+018,"Ecuador"
"EdGomez0101","DianaChuquisala",1.33852318060918E+018,"Ecuador"
"Sofia_perez67","DianaChuquisala",1.33852562834209E+018,"Ecuador"
"Juan_Ma56","serfer1188",1.33857176749388E+018,"Ecuador"
"IsabelCastro_6","LojaRc11",1.33809498213837E+018,"Ecuador"
"Carlosortga16","olganoriega1",1.33856021607032E+018,"Ecuador"
"PattyGutierzz","MashiJoaquin",1.33851483849511E+018,"Ecuador"
"Laurazambr2","LojaRc11",1.33809498213837E+018,"Ecuador"
"LuciangelaCort1","jlaloca001",1.33846373988919E+018,"Ecuador"
"Laurazambr2","serfer1188",1.33857176749388E+018,"Ecuador"
"Oriannrojas","CarolinaTorre_5",1.33857589585086E+018,"Ecuador"
"JesusSanch_2","IsabelCastro_6",1.33857502636323E+018,"Ecuador"
"SuaMonik","esthercuestasan",1.33857476788928E+018,"Ecuador"
"paulla_gonzalez","RUlcuangoF",1.33857007767592E+018,"Ecuador."
"Ramosmar5","sobo_te",1.33858014431171E+018,"Ecuador"
